value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles,context_excerpt
213.139.205.74,ipv4,,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,passive-dns,Historical passive-DNS resolution for masscan.cloud; the report gives no exact observation date
67.217.57.240,ipv4,,2025-09-21,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2|delivery,TeamPCP C2 and payload host observed in the dated payload and reverse-shell timeline
67.217.57.240,ipv4,,2025-09-26,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2|delivery,TeamPCP C2 and /files/netsh payload host appears again in the dated payload timeline
67.217.57.240,ipv4,,2025-09-28,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2|delivery,TeamPCP C2 and /files/netsh payload host appears a third time in the dated payload timeline
67.217.57.240,ipv4,,2025-10-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2|delivery,TeamPCP C2 served /files/keyen.sh in the dated payload timeline
67.217.57.240,ipv4,,2025-11-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2,Oligo states that long-lived reverse shells connected to this address remained active through 2025-11-02
67.217.57.240,ipv4,,2026-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2|passive-dns,Oligo states that masscan.cloud again resolved to this address during February 2026
44.252.85.168,ipv4,,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Payload host sharing the /files/ layout; the report gives no exact payload-serving date
44.252.85.168,ipv4,,2026-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,passive-dns,Oligo states that masscan.cloud resolved to this address during February 2026
103.127.134.124,ipv4,,2025-10-15,activity--teampcp-oligo-lineage-2020-2026,,infra--teampcp-shadowray-ironern-control,c2,Address receiving reverse shells from Victim 1 from 2025-10-15 through 2025-11-02
103.127.134.124,ipv4,,2025-11-02,activity--teampcp-oligo-lineage-2020-2026,,infra--teampcp-shadowray-ironern-control,account-management,IronErn-related GitLab accounts authenticated from this address during 2025-11-02 through 2025-11-04
103.127.134.124,ipv4,,2025-11-16,activity--teampcp-oligo-lineage-2020-2026,,infra--teampcp-shadowray-ironern-control,c2,Address received reverse shells from Victim 2 on 2025-11-16
https://matrix.masscan.cloud/ep9TS2/ndt.sh,url,,2025-07-26,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Exact HTTPS URL from the wget command logged on a compromised Ray cluster
crt.sh certificate record 18348750576,,other,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,certificate-transparency,CT record ID for masscan.cloud; first seen 2025-05-11; issuer Let's Encrypt E6; base-domain certificate; not a certificate fingerprint
crt.sh certificate record 18348751301,,other,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,certificate-transparency,CT record ID for masscan.cloud; first seen 2025-05-11; issuer Let's Encrypt E6; renewal; not a certificate fingerprint
crt.sh certificate record 18349037873,,other,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,certificate-transparency,CT record ID for matrix.masscan.cloud; first seen 2025-05-11; issuer Let's Encrypt E6; earliest observed linked infrastructure; not a certificate fingerprint
crt.sh certificate record 18349038225,,other,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,certificate-transparency,CT record ID for matrix.masscan.cloud; first seen 2025-05-11; issuer Let's Encrypt E6; renewal; not a certificate fingerprint
*.bank-phish.masscan.cloud,,other,2026-01-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,phishing-pattern,Source-stated wildcard family; retained as a hunt pattern and never materialized as an exact domain Indicator
*.test-phish.masscan.cloud,,other,2026-01-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,phishing-pattern,Source-stated wildcard family; retained as a hunt pattern and never materialized as an exact domain Indicator
*.zendesk.masscan.cloud,,other,2026-01-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,phishing-pattern,Source-stated wildcard family; retained as a hunt pattern and never materialized as an exact domain Indicator
/ep9TS2/ndt.sh,,uri-path,2025-06,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Exact case-sensitive deployment path observed on 103.79.77.16 during June 2025
/ep9TS2/ndt.sh,,uri-path,2025-07-26,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Exact case-sensitive deployment path in the matrix.masscan.cloud wget command
/EP9ts2/,,uri-path,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Case-sensitive directory form listed by Oligo as a shared TA-NATALSTATUS and TeamPCP artifact; exact observation date not stated
natalstatus.org/ep9TS2/ndt.sh,,other,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Source-stated host/path without a stated URL scheme or exact observation date; not promoted to URL Indicator
masscan.cloud/ep9TS2/ndt.sh,,other,2025-07-26,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Source-stated dated host/path; no URL scheme is inferred
/files/netsh,,uri-path,2025-09-21,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Exact path on 67.217.57.240 port 666 in Oligo payload-evolution table
/files/netsh,,uri-path,2025-09-26,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Exact path on 67.217.57.240 port 666 in Oligo payload-evolution table
/files/netsh,,uri-path,2025-09-28,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Exact path on 67.217.57.240 port 666 in Oligo payload-evolution table
/files/keyen.sh,,uri-path,2025-10-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Exact path on 67.217.57.240 port 666 in Oligo payload-evolution table
ndt.sh,,file-name,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,stage-1-implantation|shared-tooling,Shared Infrastructure and Tooling table states the same Stage 1 implantation filename was observed across the lineage; exact file-level observation date not stated
nnt.sh,,file-name,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,stage-1-implantation|shared-tooling,Shared Infrastructure and Tooling table states the same Stage 1 implantation filename was observed across the lineage; exact file-level observation date not stated
is.sh,,file-name,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,preparation-script|shared-tooling,Shared Infrastructure and Tooling table states the same preparation script was observed across the lineage; exact file-level observation date not stated
rs.sh,,file-name,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,propagation-script|shared-tooling,Shared Infrastructure and Tooling table states the same propagation script was observed across the lineage; exact file-level observation date not stated
