value,type,observed_at,campaign_refs,malware_refs,roles,context_excerpt
bf6faace50d788dea1fce23496902636,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
c53f6a52910c0adf5915f36b8104862e,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
de9519524499988ccb99f033ccec60c4,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
7c24242ae5ca2eded6aa40dbd680d45e,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,本文に掲載されたPowerTaskel v2検体
bellwitch.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
easytrns.com,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
mysitte.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
ntp.report,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
ntpcheck.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
ntpfix.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
ntpsync.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
ntpverify.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
sddfghj.com,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
sslchck.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
sslfix.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
sslvalid.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
syncheaven.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
syncpack.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
timecheck.site,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
timefetch.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
timeget.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
timemirror.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,c2,Securelist malicious domains section
ntpluck.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,,delivery,偽Acrobat Reader更新の誘導先
ntpsum.online,domain,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,c2,WarpRAT設定に記載されたC2
validsslcheck.com,domain,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat|malware--goffee-powertaskel-v2,c2,WarpRATとPowerTaskel v2に共通するC2
2cee7ab63de71482e8e928403d383af4,md5,,activity--goffee-warprat-powertaskel-v2-2026,,delivery,Adobe_Reader_RU.zip
2e8170e2508d629cff5501333b006bf4,md5,,activity--goffee-warprat-powertaskel-v2-2026,,dropper,Adobe_Acrobat_Reader_Plugin_ru.exe
2141e8b1b0be2bad339a8a16b024bd32,md5,,activity--goffee-warprat-powertaskel-v2-2026,,decoy,おとりPDF
b891c2cc2cb54aadace88d77f9e84351,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,WarpRAT mssp.exe
