slug,name,activities_status,relationships_status,associated_entities_status,hunting_pivots_status,malware_status,tools_status,targets_status,motivations_status,attribution_status,activities,dated_activities,relationships,associated_entities,entity_relationships,hunting_pivots,hunting_pivot_observations,malware,activity_linked_malware,tools,targets,motivations,external_activity_leads,external_alias_leads,external_relationship_leads,external_malware_leads,external_tool_leads,gap_count
aoqin-dragon,Aoqin Dragon,unknown,unknown,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,2,0,4
applejeus,AppleJeus,canonical-present,canonical-present,unknown,unknown,lead-only,canonical-present,canonical-present,lead-only,lead-only,2,1,1,0,0,0,0,0,0,1,5,0,114,0,3,158,0,2
apt-11,APT 11,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
apt-13,APT 13,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
apt-14,APT 14,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
apt-23,APT 23,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,15,0,5
apt-341,APT-341,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
apt-c-01,APT-C-01,unknown,unknown,unknown,unknown,lead-only,unknown,canonical-present,unknown,canonical-present,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,6,0,3
apt-c-27,APT-C-27,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,canonical-present,1,1,1,0,0,0,0,2,2,0,8,0,0,3,0,3,0,1
apt-c-37,APT-C-37,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,canonical-present,1,1,1,0,0,0,0,2,2,0,6,0,0,5,0,5,0,1
apt-c-44,APT-C-44,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
apt1,APT1,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,lead-only,lead-only,lead-only,0,0,1,0,0,0,0,6,0,11,0,0,6,8,0,43,11,5
apt12,APT12,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,2,0,1,2,0,10,5,0,13,1,5
apt16,APT16,unknown,unknown,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,9,0,5
apt17,APT17,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,1,0,2,0,0,0,0,1,0,0,2,0,12,5,0,31,0,4
apt18,APT18,lead-only,lead-only,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,4,0,1,4,0,8,2,1,16,1,5
apt19,APT19,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,2,0,0,0,0,1,0,1,6,1,16,1,0,8,3,3
apt22,APT22,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,5
apt24,APT24,canonical-present,unknown,unknown,unknown,unknown,unknown,canonical-present,unknown,lead-only,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
apt25,APT25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
apt26,APT26,lead-only,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,20,0,5
apt28,APT28,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,canonical-present,15,6,1,0,0,0,0,20,1,11,23,0,99,0,0,55,25,1
apt288,APT288,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
apt29,APT29,canonical-present,lead-only,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,canonical-present,17,6,0,0,0,1,1,36,15,15,20,0,55,0,2,64,25,2
apt292,APT292,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
apt3,APT3,lead-only,unknown,canonical-present,unknown,canonical-present,canonical-present,canonical-present,lead-only,canonical-present,0,0,0,4,4,0,0,4,0,2,2,0,9,0,0,25,3,4
apt30,APT30,lead-only,canonical-present,unknown,unknown,canonical-present,unknown,lead-only,lead-only,lead-only,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,12,0,5
apt33,APT33,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,1,1,1,0,0,0,0,7,0,9,5,0,7,0,0,38,12,3
apt34,APT34,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,canonical-present,3,3,1,0,0,0,0,18,3,12,8,0,32,0,9,76,12,1
apt37,APT37,canonical-present,canonical-present,unknown,unknown,canonical-present,lead-only,canonical-present,canonical-present,canonical-present,8,2,1,0,0,0,0,15,4,0,16,1,61,0,0,39,1,0
apt38,APT38,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,canonical-present,4,3,3,0,0,0,0,6,2,2,5,0,24,4,4,10,3,1
apt39,APT39,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,0,0,0,0,0,0,0,4,0,7,9,1,4,0,0,30,7,3
apt4,APT4,lead-only,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,6,0,5
apt41,APT41,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,14,6,3,9,12,3,4,26,14,14,14,2,60,0,1,86,16,0
apt42,APT42,canonical-present,canonical-present,unknown,unknown,canonical-present,lead-only,canonical-present,canonical-present,lead-only,3,0,2,0,0,0,0,2,0,0,2,1,2,0,2,14,1,3
apt43,APT43,canonical-present,canonical-present,unknown,unknown,lead-only,lead-only,canonical-present,lead-only,canonical-present,2,0,1,0,0,0,0,0,0,0,7,0,69,1,3,41,12,2
apt45,APT45,canonical-present,canonical-present,unknown,unknown,unknown,unknown,canonical-present,lead-only,lead-only,2,0,1,0,0,0,0,0,0,0,2,0,27,0,0,0,0,3
apt5,APT5,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,1,1,0,0,0,0,0,8,0,5,5,1,2,2,0,9,5,3
apt6,APT6,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
apt69,apt69,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
apt73,APT73,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
aquatic-panda,Aquatic Panda,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,1,1,0,0,0,0,0,5,1,1,13,1,0,0,0,6,3,2
arid-viper,Arid Viper,lead-only,unknown,unknown,unknown,canonical-present,unknown,lead-only,lead-only,canonical-present,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,14,0,5
avivore,AVIVORE,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
awaken-likho,Awaken Likho,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,2,2,0,0,0,0,0,2,2,3,8,1,0,0,0,0,0,2
axiom,Axiom,lead-only,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,0,0,7,0,0,0,0,8,0,0,4,1,11,5,0,27,0,3
backdoordiplomacy,BackdoorDiplomacy,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,1,0,0,0,0,2,0,3,4,1,14,2,0,40,3,3
badmagic,BadMagic,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5
bamboo-spider,Bamboo Spider,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,10,0,5
big-panda,Big Panda,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
bitter,BITTER,canonical-present,unknown,unknown,canonical-present,canonical-present,unknown,canonical-present,canonical-present,lead-only,3,0,0,0,0,1,2,1,1,0,17,1,10,0,0,5,0,3
blackbyte,BlackByte,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,unknown,1,0,0,0,0,1,1,4,0,4,0,0,0,0,0,4,6,6
blackgear,Blackgear,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,5
blackoasis,BlackOasis,lead-only,canonical-present,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,9,0,4
blacktech,BlackTech,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,3,0,0,0,0,0,0,6,2,1,5,1,12,0,0,13,1,3
blind-eagle,Blind Eagle,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,4,0,5,7,2,8,0,0,9,4,4
blue-mockingbird,Blue Mockingbird,unknown,unknown,unknown,unknown,unknown,canonical-present,unknown,lead-only,unknown,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,5
blue-termite,Blue Termite,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,5
bluebottle,Bluebottle,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,5
bluehornet,BlueHornet,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
bohrium,Bohrium,lead-only,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,0,5
boson-spider,Boson Spider,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
bouncing-golf,Bouncing Golf,lead-only,unknown,unknown,unknown,canonical-present,unknown,lead-only,canonical-present,lead-only,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,2,0,5
breeze-comet,BREEZE COMET,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,1,1,2,0,0,0,0,6,6,1,4,1,0,0,0,0,2,0
buhtrap,Buhtrap,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,5
callisto,Callisto Group,canonical-present,unknown,canonical-present,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,1,0,0,3,4,0,0,1,0,0,3,1,10,0,0,5,0,4
calypso,Calypso,canonical-present,unknown,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,canonical-present,1,1,0,0,0,0,0,2,2,0,4,1,2,1,0,20,0,1
candiru,Candiru,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
carbanak,Carbanak,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,2,0,0,0,0,1,0,3,1,0,28,0,0,42,5,4
carberb,Carberp,unknown,unknown,unknown,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2
careto,Careto,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5
cellebrite,Cellebrite,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,canonical-present,unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
charming-kitten,Charming Kitten,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,0,0,2,0,0,0,0,3,0,10,7,1,47,0,9,38,14,2
chimera,Chimera,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,1,0,0,0,0,1,0,5,2,0,8,1,0,19,11,4
chinaz,ChinaZ,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
cinnamon-tempest,Cinnamon Tempest,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,lead-only,canonical-present,lead-only,0,0,1,0,0,0,0,5,0,3,0,1,1,0,0,9,3,4
cl-sta-0043,CL-STA-0043,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5
cl-sta-0048,CL-STA-0048,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cl-sta-0969,CL-STA-0969,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cl-sta-1015,CL-STA-1015,unknown,canonical-present,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
cl-sta-1020,CL-STA-1020,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cl-sta-1062,CL-STA-1062,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cl-sta-1087,CL-STA-1087,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cl-sta-1114,CL-STA-1114,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cleaver,Cleaver,lead-only,lead-only,unknown,unknown,canonical-present,canonical-present,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,2,0,2,0,0,4,0,7,17,2,6
clever-kitten,Clever Kitten,unknown,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,5
cobalt-group,Cobalt Group,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,1,0,0,0,0,3,0,3,4,1,11,1,0,20,9,3
confucius,Confucius,canonical-present,canonical-present,unknown,canonical-present,canonical-present,lead-only,canonical-present,canonical-present,lead-only,1,1,1,0,0,1,1,1,0,0,4,1,4,0,0,11,1,2
contagious-interview,Contagious Interview,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,15,3,2,0,0,0,0,7,5,0,5,2,18,0,0,4,0,1
copykittens,CopyKittens,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,1,0,0,0,0,3,0,1,8,1,7,3,0,13,3,3
corsair-jackal,Corsair Jackal,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
costaricto,CostaRicto,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,canonical-present,unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,4
cotton-sandstorm,Cotton Sandstorm,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
cuboid-sandstorm,Cuboid Sandstorm,lead-only,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,6,0,5
curious-gorge,Curious Gorge,lead-only,unknown,unknown,unknown,unknown,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
curious-jackal,Curious Jackal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cyber-berkut,Cyber Berkut,lead-only,unknown,unknown,unknown,unknown,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
cyber-caliphate-army-cca,Cyber Caliphate Army (CCA),lead-only,unknown,unknown,unknown,unknown,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,5
cyber-fighters-of-izz-ad-din-al-qassam,Cyber fighters of Izz Ad-Din Al Qassam,lead-only,unknown,unknown,unknown,unknown,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5
cyber-spetsnazs,Cyber Spetsnazs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cyberav3ngers,CyberAv3ngers,canonical-present,unknown,unknown,unknown,unknown,unknown,canonical-present,lead-only,lead-only,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
cytrox,Cytrox,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
daggerfly,Daggerfly,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,1,0,0,0,0,0,0,4,0,2,4,0,8,0,0,11,2,5
danti,Danti,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dark-caracal,Dark Caracal,lead-only,unknown,unknown,unknown,canonical-present,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,6
dark-pink,Dark PInk,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,5
darkhotel,Darkhotel,canonical-present,unknown,unknown,unknown,lead-only,unknown,canonical-present,canonical-present,lead-only,1,1,0,0,0,0,0,0,0,0,6,1,19,0,0,20,0,2
darkhydrus,DarkHydrus,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,1,0,0,0,0,2,0,1,3,0,3,0,0,4,1,4
darkuniverse,DarkUniverse,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5
darkvishnya,DarkVishnya,unknown,unknown,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,unknown,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,3
deep-panda,Deep Panda,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,4,0,0,0,0,4,0,3,4,1,42,4,0,23,6,3
denim-tsunami,Denim Tsunami,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
dev-0056,DEV-0056,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,5
dev-0133,DEV-0133,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0166,DEV-0166,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0196,DEV-0196,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0198,DEV-0198,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0215,DEV-0215,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0227,DEV-0227,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,5
dev-0230,DEV-0230,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0270,DEV-0270,lead-only,lead-only,unknown,unknown,lead-only,unknown,unknown,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,5
dev-0322,DEV-0322,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,20,0,5
dev-0343,DEV-0343,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
dev-0506,DEV-0506,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0588,DEV-0588,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0842,DEV-0842,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-0861,DEV-0861,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,47,0,5
dev-0960,DEV-0960,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dev-1084,DEV-1084,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dextorous-spider,Dextorous Spider,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
domestic-kitten,Domestic Kitten,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,5
donot-team,Donot Team,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,3,0,5
dprk-it-workers,DPRK IT Worker Schemes,canonical-present,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,3,0,1,0,0,0,0,0,0,5,6,1,0,0,0,0,0,1
dragonfly,Dragonfly,lead-only,canonical-present,canonical-present,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,1,4,7,0,0,2,0,8,5,1,16,6,0,35,8,3
dragonok,DragonOK,lead-only,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,0,0,1,0,0,0,0,2,0,0,1,0,3,1,0,14,0,4
dragonspark,DragonSpark,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
dungeon-spider,Dungeon Spider,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,5
dust-storm,Dust Storm,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
earth-berberoka,Earth Berberoka,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
