value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles,context
1v.exe,,file-name,,,malware--lockbit-3-black,,,F6 IOC節のLockBit検体名。
fwkor.exe,,file-name,,,,,,F6 IOC節の検体名。
qauvy.exe,,file-name,,,,,,F6 IOC節の検体名。
kolhoz.exe,,file-name,,,,,,F6 IOC節の検体名。
systemd,,file-name,,,,,,F6 IOC節の検体名。
dnsclient64.exe,,file-name,,,,infrastructure--toy-ghouls-phantomcore-overlap,remote-management|non-exclusive,F6 IOC節の検体名。
kernel64-tzar,,file-name,,,,,,F6 IOC節の検体名。
SSHService.ps1,,file-name,,,,infrastructure--toy-ghouls-ransomware-operations,tunneling-script,F6 IOC節のPowerShellスクリプト名。
cloudflared.exe,,file-name,,,,infrastructure--toy-ghouls-ransomware-operations,tunneling-tool|non-exclusive,F6 IOC節の公開ツール名。
gost.exet,,file-name,,,,infrastructure--toy-ghouls-ransomware-operations,proxy-tool|non-exclusive,F6 IOC節の表記を保持。
dllhost.exe,,file-name,,,,infrastructure--toy-ghouls-ransomware-operations,tool-sample,F6 IOC節の検体名。
winScHost.exe,,file-name,,,,infrastructure--toy-ghouls-ransomware-operations,proxy-tool,F6 IOC節のShinySocks改変版検体名。
svchost.exe,,file-name,,,,infrastructure--toy-ghouls-ransomware-operations,tool-sample,F6 IOC節の検体名。
Windows Time Service,,service-name,2025-02,activity--toy-ghouls-june-2025-attacks,,infrastructure--toy-ghouls-ransomware-operations,persistence,w64Time.exeを自動起動するため2月に作成されたサービス。
WinScHost,,service-name,2025-02,activity--toy-ghouls-june-2025-attacks,,infrastructure--toy-ghouls-ransomware-operations,persistence,winScHost.exeを起動するためImpacketで作成されたサービス。
Cloudflared agent,,service-name,2025-06,activity--toy-ghouls-june-2025-attacks,,infrastructure--toy-ghouls-ransomware-operations,persistence|tunneling,6月の最終段階で作成されたCloudflaredサービス。
DriverInitService,,service-name,2025-06,activity--toy-ghouls-june-2025-attacks,,infrastructure--toy-ghouls-ransomware-operations,persistence|tunneling,gostとCloudflaredを起動するため作成されたサービス。
*.README,,file-name,,,,,,ransomウェア自動生成ではなく攻撃者が手作業で配置した身代金メモの命名パターン。
