value,type,artifact_type,campaign_refs,malware_refs,infrastructure_refs,roles,context
ec2a646334a28ba4ae409fd9a21dfa21,md5,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,tunneling-tool,Kaspersky IOC節: localtonet.exe。
44039de9f0ea354d55240438818d58ea,md5,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,remote-management|shared-tool|non-exclusive,Kaspersky IOC節: MeshAgent c.exe / dnsclient.exe。Head Mare既知C2へ接続した共有ツールであり専有IOCではない。
support@laboo.boo,email,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-laboo,contact,Kaspersky IOC節: 攻撃者連絡先。
oil@laboo.boo,email,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-laboo,contact,Kaspersky IOC節: 攻撃者連絡先。
far@laboo.boo,email,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-laboo,contact,Kaspersky IOC節: 攻撃者連絡先。
xjieb@laboo.boo,email,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-laboo,contact,Kaspersky IOC節: 攻撃者連絡先。
1cbit.dev,domain,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-1cbit,c2-domain,Kaspersky IOC節。Head Mareの1cbit-dev.comとの文字列類似だけでは同一インフラを意味しない。
akselerator.1cbit.dev,domain,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-1cbit,c2-domain,Kaspersky IOC節。
nextcloud.1cbit.dev,domain,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-1cbit,c2-domain,Kaspersky IOC節。
202.71.14.145,ipv4,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,c2,Kaspersky IOC節。同じ値が原文中で重複掲載されるが一意化した。
31.56.27.60,ipv4,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,c2|shared-infrastructure|non-exclusive,MeshAgent/Rsocxが接続しHead Mareでも既知のC2。共有値でありToy Ghouls専有ではない。
31.57.93.105,ipv4,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,c2,Kaspersky IOC節。
195.133.32.213,ipv4,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,c2|shared-infrastructure|non-exclusive,Toy Ghoulsの一攻撃でC2として使われHead Mareでも少なくとも前年8月から利用。共有値であり専有ではない。
217.154.172.41,ipv4,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,c2,Kaspersky IOC節。
nextcloud.soft-trust.com,domain,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,c2|shared-infrastructure|non-exclusive,MeshAgent/Rsocxが接続しHead Mareで既知のC2。共有値でありToy Ghouls専有ではない。
gse.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の検体名。
igsv.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の検体名。
oil.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の検体名。
far.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,malware--lockbit-3-black,,,Kaspersky IOC節の検体名。
e_nas_amd64.out,,file-name,activity--toy-ghouls-ransomware-2025-2026,malware--babuk,,,Kaspersky IOC節のBabuk Linux検体名。
rx.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,shared-tool|non-exclusive,Kaspersky IOC節のRsocx/Socks5Proxy検体名。
hosts.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,shared-tool|non-exclusive,Kaspersky IOC節のRsocx/Socks5Proxy検体名。
ip.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の検体名。
fix.epf,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の1C外部処理ファイル名。
Исправление.epf,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の1C外部処理ファイル名。
ЗагрузкаXML.epf,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の1C外部処理ファイル名。
mi.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,credential-tool,Kaspersky IOC節のMimikatz検体名。
calc.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,,,Kaspersky IOC節の検体名。
scan_x86.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,network-scanner,Kaspersky IOC節のfscan検体名。
scan64.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,network-scanner,Kaspersky IOC節のfscan検体名。
fscan.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,network-scanner,Kaspersky IOC節のfscan検体名。
localtonet.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,tunneling-tool,Kaspersky IOC節のlocaltonet検体名。
c.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,remote-management|shared-tool|non-exclusive,Kaspersky IOC節のMeshAgent検体名。
dnsclient.exe,,file-name,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,remote-management|shared-tool|non-exclusive,Kaspersky IOC節のMeshAgent検体名。
